Facility Id,FRS Id,Reported City,Reported State,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
1013407,,Midland,TX,,32.38190713,-101.1883188,211120,W-ONSH,"341,653.72","20,086.60",,,,,,,
1012052,110067543983,DeBeque,CO,,39.317997,-108.265175,211111,W-ONSH,,,"9,924.02","6,673.50","35,403.45",,,,
1010224,110055519924,Bloomfield,NM,SAN JUAN,36.75668,-107.97866,211111,W-ONSH,,,,,"16,209.83","21,291.70","23,014.00","25,015.40","28,434.87"
1013610,,Tulsa,OK,,,,211130,W-ONSH,"146,721.64",,,,,,,,
1013601,,Tulsa,OK,,,,211120,W-ONSH,"84,564.22",,,,,,,,
1012437,110070082287,Tulsa,OK,,36.1592882,-95.9964783,211120,W-ONSH,"543,708.37","336,837.70","296,441.08","404,704.78",,,,,
1013602,,Tulsa,OK,,,,211130,W-ONSH,"109,244.74",,,,,,,,
1013605,,Tulsa,OK,,,,211130,W-ONSH,"257,438.86",,,,,,,,
1012044,110067543938,Midland,TX,,31.997327,-102.075831,211111,W-ONSH,,,"50,123.85","49,237.11","54,315.56",,,,
1012449,110070082292,Midland,TX,,31.9916009,-102.0832543,211120,W-ONSH,"36,443.07","152,647.49","137,409.49","126,178.20",,,,,
1012893,,Anchor Point,AK,,59.8726711,-151.5504812,211120,W-ONSH,"25,124.55","39,798.61","45,814.57",,,,,,
1009837,,Houston,TX,,29.7334229,-95.4325786,211130,W-ONSH,"27,735.49","30,878.39","33,261.23","26,594.80","25,341.35","31,229.53","29,206.86",,
1009859,110042336665,Tulsa,OK,TULSA COUNTY,36.13328,-95.96726,211130,W-ONSH,,"124,254.61","126,708.26","117,239.16","98,190.18","80,711.09","74,572.13","44,426.36",
1009860,110042336665,Tulsa,OK,TULSA COUNTY,36.13328,-95.96726,211130,W-ONSH,,"92,758.31","91,380.82","91,314.57","44,620.94","71,541.54","47,311.53",,
1012728,110070082467,Tulsa,OK,,36.1592882,-95.9964783,211130,W-ONSH,,"269,007.23","248,705.90","244,106.12",,,,,
1010765,110055521939,Immokalee,FL,COLLIER COUNTY,26.418527,-81.405093,211120,W-ONSH,"12,685.07","22,165.55","20,816.06","23,034.76","21,952.11","40,984.05","34,109.47","28,835.06",
1009811,,Houston,TX,,29.7537256,-95.3592814,211120,W-ONSH,"19,783.50","54,344.20","55,983.45","58,352.35","59,149.95","47,381.05","47,673.75",,
1009813,110054085958,Houston,TX,HARRIS COUNTY,29.7546,-95.36102,211120,W-ONSH,"11,510.84","35,636.19","85,200.69","85,646.33","89,042.09","92,553.48","60,712.57","67,465.25","58,831.85"
1003056,110028033884,Brea,CA,ORANGE COUNTY,33.93819,-117.87653,211120,"NN-FRAC,W-ONSH","26,161.81","26,581.46","27,277.41",,,,,,
1012940,,Houston,TX,,29.7765065,-95.4201377,211120,W-ONSH,"1,706,650.13","804,507.96","751,377.60",,,,,,
1008692,110005116105,Midland,TX,MIDLAND COUNTY,32.00317,-102.07883,211111,W-ONSH,,,,,,,,219.00,219.00
1010784,110022791843,Fort Worth,TX,TARRANT COUNTY,32.75087,-97.33487,211120,W-ONSH,"24,764.74","26,682.89","16,408.72","19,421.96","63,265.31","23,394.69","179,520.45","58,259.03","58,040.58"
1011269,110058380149,Houston,TX,Harris,29.752554,-95.3704009,211111,W-ONSH,,,,,,"41,889.39","47,886.49",,
1010621,110055521396,Houston,TX,HARRIS COUNTY,29.75806,-95.36401,211130,W-ONSH,"201,071.96","210,143.76","235,822.59","195,562.21","110,023.66","60,115.37","41,452.60","72,008.77",
